customer_id,call_count,conversation_ids
e64a38eddaa64e6cc3b83fae7f68cf19ad550df82aa0f97c76a97bf83aef88e4,2,4144905973-1967591921-2908001336-0825805307 1345879947-1968181745-2924644672-3594676577
2fa1e4b43329d9b64bf020c2f63d6fd8027f3b19df26148bf4ed97eade125003,2,1477163022-1973096945-2490078264-0825805307 0400877478-1972965873-3152462325-1773867395
d658350cab15b5be36c55d53fbf9fac4f469313da3436f6492a89239ae1e1660,2,1178115909-1971720689-3018047989-1773867395 3923410849-1971589617-2995552746-2917985560
a9866033545f59729cbc542d84bdd89c1e6d824a33798511fc935d43bc73535e,2,3386957351-1970541041-2465317365-1773867395 3620038447-1970082289-2972420416-3594676577
35a33e85c34339c4e2cef2a3d83e86ed2fdff9ea78823eee9621308e35f2deb6,2,4163144140-1971917297-2692516160-3594676577 2940504200-1971917297-2768606264-0825805307
428e8f7d16343d6df11ab20a332a47b7875662e0553aab71cd1bf35c29e0d179,2,0548640698-1969164785-2445117760-3594676577 3470338052-1969099249-2351469624-0825805307
335c4d620215a3329ad5f3376d32e3719dccf69247b85c48e3c17921738a1e2f,2,0609265153-1972179441-2885915704-0825805307 1959764357-1969492465-2194379832-0825805307
6c2a0d5c58c89f9dd4b67d7aeeacc22f6aed968a344d37d52ded71869ccd123c,2,1521144291-1969492465-2388574709-1773867395 0339715600-1967591921-2366620149-1773867395
381d7e550001397601b93e0162920431f74e8fbbecfda24f2bb8e170d180ad5c,2,1481885770-1972441585-2293598528-3594676577 1571548445-1970803185-2973468992-3594676577
c4733aa4b4bd37adcf586201d058a725fd4923074f94b9533cce2456dce6cf19,2,2395675251-1972179441-2798879210-2917985560 3223426661-1970999793-2924511722-2917985560
776c80970cb7ab505becee12a94f06085d70fbecc1a08ab528f5818a9754b966,2,0322133131-1967526385-2712568298-2917985560 0534281629-1968706033-2436006378-2917985560
85c9b4f4b0104ce4e2ba7f9301b14d16f5ef67c23a1f166c4f6b98c4e7e482d8,2,3318741993-1967985137-2964816362-2917985560 0502613259-1971655153-2547827189-1773867395
edca5748ff9bd7616cced4ce6626483870084dfa858bdf18aef9b6530ffac4a6,2,3890549790-1969623537-3051389418-2917985560 1024171685-1969426929-2848752106-2917985560
52a4ea20dc99bfc899ef019507095cfb9ec5bce7b2ed42ec610dd60fa7b4ca69,2,3074154687-1968771569-2640873792-3594676577 4131214259-1968771569-2844180981-1773867395
8bc1d4293512e8c6dcd2b307d1760af0ba7f3d258797198bb4d930974500d5c2,2,1720484493-1973621233-2991756344-0825805307 0557804731-1973621233-2288042485-1773867395
b5536e915d36719b93bd65a20f2330f642cfb6c006bd67614722cf6c7d26d8f8,2,0716259487-1969623537-2797830634-2917985560 1059307686-1969820145-2160312821-1773867395
8d06831296e7c389a66fccc184ee66ce01d7eaab88162903fbf7b89e7ada922c,2,3098682376-1970409969-2896724458-2917985560 2099572223-1970409969-2908787768-0825805307
